Alarm Code,Description,Count
1," ""WTC Cycle Time Overrun""",0
2," ""WTC Cycle Time Serious Overrun""",0
3," ""Controller Call Period Mismatch""",0
4," ""Controller Call Period Too Long""",0
5," ""Controller Call Period Too Short""",0
6," ""Cold Boot happened. All channels reinitialised.""",0
7," ""Warm Boot""",0
8," ""Start Up PCS Grid Connection Time Out""",0
9," ""Start Up Synching Speed Time Out""",0
10," ""Start Up Rotor Position Encoder Time Out""",0
11," ""Controller Task Stack Usage Critical""",0
12," ""Scada Shutdown Request""",0
13," ""Shutdown Cycling""",0
14," ""Ss Nacelle E Stop Pressed""",0
15," ""Ss Yaw E Stop Pressed""",0
16," ""Ss Rotor Lock Panel E Stop Pressed""",0
17," ""Ss TowerBox EStop Pressed""",0
18," ""Ss PCS E Stop Pressed""",0
19," ""Ss Cable Twist Cw""",0
20," ""Ss Cable Twist Ccw""",0
21," ""Ss Watchdog Trip""",0
22," ""Ss Vibration Trip""",0
23," ""Ss Rotor Over Speed Trip""",0
24," ""Ss Over Power Trip""",0
25," ""Ss Short Circuit Trip""",0
26," ""Ss Controller Initiated Turbine Trip""",0
27," ""Ss Personnel Level Trip""",0
28," ""Ss Yaw Level Trip""",0
29," ""Ss Turbine Level Trip""",0
30," ""Nacelle EStop Safety PLC / WTC mismatch""",0
31," ""Yaw EStop Safety PLC / WTC mismatch""",0
32," ""RLCP EStop Safety PLC / WTC mismatch""",0
33," ""TowerBox EStop Safety PLC / WTC mismatch""",0
34," ""PCS EStop Safety PLC / WTC mismatch""",0
35," ""Cable twist limit CW Safety PLC / WTC mismatch""",0
36," ""Cable twist limit CCW Safety PLC / WTC mismatch""",0
37," ""Watchdog Safety PLC / WTC mismatch""",0
38," ""Vibration Safety PLC / WTC mismatch""",0
39," ""Overspeed Safety PLC / WTC mismatch""",0
40," ""Overpower Safety PLC / WTC mismatch""",0
41," ""Short Circuit Safety PLC / WTC mismatch""",0
42," ""Rotor Underspeed Misconfigured""",0
43," ""Personnel Ss Failed To Trip""",0
44," ""Yaw Ss Failed To Trip""",0
45," ""Turbine Ss Failed To Trip""",0
46," ""Remote Switch Manual""",0
47," ""Nacelle Key Switch Manual""",0
48," ""Tower Base Key Switch Manual""",0
49," ""Nacelle Key Switch Off""",0
50," ""Tower Base Key Switch Off""",0
51," ""Grid Failure""",0
52," ""Over Power""",0
53," ""Inst High Wind Speed Shutdown""",0
54," ""High Wind Speed Shutdown""",0
55,Wind Speed Transducer Error 1&2,0
56,Wind Speed Transducer Error 2&3,0
57,Wind Speed Transducer Error 1&3,0
58," ""Wind Speed Transducers Disabled""",0
59," ""Wind Speed Disabled Transducer Selected""",0
60," ""Wind Speed 1 Unchanged""",0
61," ""Wind Speed 2 Unchanged""",0
62," ""Wind Speed 3 Unchanged""",0
63,Wind Direction Transducer Error 1&2,0
64,Wind Direction Transducer Error 2&3,0
65,Wind Direction Transducer Error 1&3,0
66," ""Wind Speed Transducers Disabled""",0
67," ""Wind Direction Disabled Transducer Selected""",0
68," ""Wind Spd Without Active Yaw Err""",0
69," ""Vibration Without Wind Change""",0
70," ""Wind Speed Below Cut In""",0
71," ""Wind Speed Above Max Start""",0
72," ""Wind Speed Not Appropriate For Startup""",0
73," ""Rotor Position Not Valid Yet""",0
74," ""Rotor Underspeed In Startup""",0
75," ""Software Under Speed""",0
76," ""Sw Underpower During Production""",0
77," ""Sw Over Speed On Start Up""",0
78," ""Sw Over Speed Waiting For Wind""",0
79," ""Manual Generator Over Speed""",0
80," ""(DEMOTED) Manual Rotor Over Speed""",0
81," ""(DEMOTED) Transmission Speed Mismatch""",0
82," ""Instantaneous Gen Speed Step""",0
83," ""Unchanged Producing Gen Speed""",0
84," ""Gen Accelerating in Batt Shutdn""",0
85," ""Torque Mismatch""",0
86," ""Measured Electrical Power Out Of Range""",0
87," ""Active Power Measurement Mismatch""",0
88," ""PCS Comms Heartbeat Lost""",0
89," ""PCS System Fault Reset TimeOut""",0
90," ""PCS Short Circuit Trip""",0
91," ""PCS State Time Out""",0
92," ""PCS State Mismatch""",0
93," ""(DEMOTED) Mismatch Between Rotor And Generator Speeds""",0
94," ""(DEMOTED) Yaw Encoder Mismatch""",0
95," ""Yaw 90 Requested from Scada""",0
96," ""Yaw 90 switch latched on""",0
97,Yaw Error > Max Start Yaw Error,0
98," ""Software Cable Twist CW""",0
99," ""Software Cable Twist CCW""",0
100," ""Cable Unwind""",0
101," ""Yaw Disabled""",0
102," ""Yaw Disabled in Auto""",0
103," ""Yaw move unexpected""",0
104," ""Yaw moving too fast""",0
105," ""Yaw Move In Wrong Direction""",0
106," ""Yaw Failed to Move""",0
107," ""Yaw Drives Disabled""",0
108," ""Yaw Drives Fault""",0
109," ""Yaw Drives Manual Clear Fault""",0
110," ""Yaw Drive Main Contactor Off""",0
111," ""Yaw Drive 1 fault require manual clearing""",0
112," ""failure to reset the yaw drive 1""",0
113," ""(DEMOTED) Yaw Inverter 1 Speed Mismatch""",0
114," ""Yaw Drive 1 Alarm Word 1 BIT_00""",0
115," ""Yaw Drive 1 Alarm Word 1 BIT_01""",0
116," ""Yaw Drive 1 Alarm Word 1 BIT_02""",0
117," ""Yaw Drive 1 Alarm Word 1 BIT_03""",0
118," ""Yaw Drive 1 Alarm Word 1 BIT_04""",0
119," ""Yaw Drive 1 Alarm Word 1 BIT_05""",0
120," ""Yaw Drive 1 Alarm Word 1 BIT_06""",0
121," ""Yaw Drive 1 Alarm Word 1 BIT_07""",0
122," ""Yaw Drive 1 Alarm Word 1 BIT_08""",0
123," ""Yaw Drive 1 Alarm Word 1 BIT_09""",0
124," ""Yaw Drive 1 Alarm Word 1 BIT_10""",0
125," ""Yaw Drive 1 Alarm Word 1 BIT_11""",0
126," ""Yaw Drive 1 Alarm Word 1 BIT_12""",0
127," ""Yaw Drive 1 Alarm Word 1 BIT_13""",0
128," ""Yaw Drive 1 Alarm Word 1 BIT_14""",0
129," ""Yaw Drive 1 Alarm Word 1 BIT_15""",0
130," ""Yaw Drive 1 Alarm Word 2 BIT_00""",0
131," ""Yaw Drive 1 Alarm Word 2 BIT_01""",0
132," ""Yaw Drive 1 Alarm Word 2 BIT_02""",0
133," ""Yaw Drive 1 Alarm Word 2 BIT_03""",0
134," ""Yaw Drive 1 Alarm Word 2 BIT_04""",0
135," ""Yaw Drive 1 Alarm Word 2 BIT_05""",0
136," ""Yaw Drive 1 Alarm Word 2 BIT_06""",0
137," ""Yaw Drive 1 Alarm Word 2 BIT_07""",0
138," ""Yaw Drive 1 Alarm Word 2 BIT_08""",0
139," ""Yaw Drive 1 Alarm Word 2 BIT_09""",0
140," ""Yaw Drive 1 Alarm Word 2 BIT_10""",0
141," ""Yaw Drive 1 Alarm Word 2 BIT_11""",0
142," ""Yaw Drive 1 Alarm Word 2 BIT_12""",0
143," ""Yaw Drive 1 Alarm Word 2 BIT_13""",0
144," ""Yaw Drive 1 Alarm Word 2 BIT_14""",0
145," ""Yaw Drive 1 Alarm Word 2 BIT_15""",0
146," ""Yaw Drive 1 Alarm Word 3 BIT_00""",0
147," ""Yaw Drive 1 Alarm Word 3 BIT_01""",0
148," ""Yaw Drive 1 Alarm Word 3 BIT_02""",0
149," ""Yaw Drive 1 Alarm Word 3 BIT_03""",0
150," ""Yaw Drive 1 Alarm Word 3 BIT_04""",0
151," ""Yaw Drive 1 Alarm Word 3 BIT_05""",0
152," ""Yaw Drive 1 Alarm Word 3 BIT_06""",0
153," ""Yaw Drive 1 Alarm Word 3 BIT_07""",0
154," ""Yaw Drive 1 Alarm Word 3 BIT_08""",0
155," ""Yaw Drive 1 Alarm Word 3 BIT_09""",0
156," ""Yaw Drive 1 Alarm Word 3 BIT_10""",0
157," ""Yaw Drive 1 Alarm Word 3 BIT_11""",0
158," ""Yaw Drive 1 Alarm Word 3 BIT_12""",0
159," ""Yaw Drive 1 Alarm Word 3 BIT_13""",0
160," ""Yaw Drive 1 Alarm Word 3 BIT_14""",0
161," ""Yaw Drive 1 Alarm Word 3 BIT_15""",0
162," ""Yaw Drive 1 Alarm Word 4 BIT_00""",0
163," ""Yaw Drive 1 Alarm Word 4 BIT_01""",0
164," ""Yaw Drive 1 Alarm Word 4 BIT_02""",0
165," ""Yaw Drive 1 Alarm Word 4 BIT_03""",0
166," ""Yaw Drive 1 Alarm Word 4 BIT_04""",0
167," ""Yaw Drive 1 Alarm Word 4 BIT_05""",0
168," ""Yaw Drive 1 Alarm Word 4 BIT_06""",0
169," ""Yaw Drive 1 Alarm Word 4 BIT_07""",0
170," ""Yaw Drive 1 Alarm Word 4 BIT_08""",0
171," ""Yaw Drive 1 Alarm Word 4 BIT_09""",0
172," ""Yaw Drive 1 Alarm Word 4 BIT_10""",0
173," ""Yaw Drive 1 Alarm Word 4 BIT_11""",0
174," ""Yaw Drive 1 Alarm Word 4 BIT_12""",0
175," ""Yaw Drive 1 Alarm Word 4 BIT_13""",0
176," ""Yaw Drive 1 Alarm Word 4 BIT_14""",0
177," ""Yaw Drive 1 Alarm Word 4 BIT_15""",0
178," ""Yaw Drive 2 fault require manual clearing""",0
179," ""failure to reset the yaw drive 2""",0
180," ""(DEMOTED) Yaw Inverter 2 Speed Mismatch""",0
181," ""Yaw Drive 2 Alarm Word 1 BIT_00""",0
182," ""Yaw Drive 2 Alarm Word 1 BIT_01""",0
183," ""Yaw Drive 2 Alarm Word 1 BIT_02""",0
184," ""Yaw Drive 2 Alarm Word 1 BIT_03""",0
185," ""Yaw Drive 2 Alarm Word 1 BIT_04""",0
186," ""Yaw Drive 2 Alarm Word 1 BIT_05""",0
187," ""Yaw Drive 2 Alarm Word 1 BIT_06""",0
188," ""Yaw Drive 2 Alarm Word 1 BIT_07""",0
189," ""Yaw Drive 2 Alarm Word 1 BIT_08""",0
190," ""Yaw Drive 2 Alarm Word 1 BIT_09""",0
191," ""Yaw Drive 2 Alarm Word 1 BIT_10""",0
192," ""Yaw Drive 2 Alarm Word 1 BIT_11""",0
193," ""Yaw Drive 2 Alarm Word 1 BIT_12""",0
194," ""Yaw Drive 2 Alarm Word 1 BIT_13""",0
195," ""Yaw Drive 2 Alarm Word 1 BIT_14""",0
196," ""Yaw Drive 2 Alarm Word 1 BIT_15""",0
197," ""Yaw Drive 2 Alarm Word 2 BIT_00""",0
198," ""Yaw Drive 2 Alarm Word 2 BIT_01""",0
199," ""Yaw Drive 2 Alarm Word 2 BIT_02""",0
200," ""Yaw Drive 2 Alarm Word 2 BIT_03""",0
201," ""Yaw Drive 2 Alarm Word 2 BIT_04""",0
202," ""Yaw Drive 2 Alarm Word 2 BIT_05""",0
203," ""Yaw Drive 2 Alarm Word 2 BIT_06""",0
204," ""Yaw Drive 2 Alarm Word 2 BIT_07""",0
205," ""Yaw Drive 2 Alarm Word 2 BIT_08""",0
206," ""Yaw Drive 2 Alarm Word 2 BIT_09""",0
207," ""Yaw Drive 2 Alarm Word 2 BIT_10""",0
208," ""Yaw Drive 2 Alarm Word 2 BIT_11""",0
209," ""Yaw Drive 2 Alarm Word 2 BIT_12""",0
210," ""Yaw Drive 2 Alarm Word 2 BIT_13""",0
211," ""Yaw Drive 2 Alarm Word 2 BIT_14""",0
212," ""Yaw Drive 2 Alarm Word 2 BIT_15""",0
213," ""Yaw Drive 2 Alarm Word 3 BIT_00""",0
214," ""Yaw Drive 2 Alarm Word 3 BIT_01""",0
215," ""Yaw Drive 2 Alarm Word 3 BIT_02""",0
216," ""Yaw Drive 2 Alarm Word 3 BIT_03""",0
217," ""Yaw Drive 2 Alarm Word 3 BIT_04""",0
218," ""Yaw Drive 2 Alarm Word 3 BIT_05""",0
219," ""Yaw Drive 2 Alarm Word 3 BIT_06""",0
220," ""Yaw Drive 2 Alarm Word 3 BIT_07""",0
221," ""Yaw Drive 2 Alarm Word 3 BIT_08""",0
222," ""Yaw Drive 2 Alarm Word 3 BIT_09""",0
223," ""Yaw Drive 2 Alarm Word 3 BIT_10""",0
224," ""Yaw Drive 2 Alarm Word 3 BIT_11""",0
225," ""Yaw Drive 2 Alarm Word 3 BIT_12""",0
226," ""Yaw Drive 2 Alarm Word 3 BIT_13""",0
227," ""Yaw Drive 2 Alarm Word 3 BIT_14""",0
228," ""Yaw Drive 2 Alarm Word 3 BIT_15""",0
229," ""Yaw Drive 2 Alarm Word 4 BIT_00""",0
230," ""Yaw Drive 2 Alarm Word 4 BIT_01""",0
231," ""Yaw Drive 2 Alarm Word 4 BIT_02""",0
232," ""Yaw Drive 2 Alarm Word 4 BIT_03""",0
233," ""Yaw Drive 2 Alarm Word 4 BIT_04""",0
234," ""Yaw Drive 2 Alarm Word 4 BIT_05""",0
235," ""Yaw Drive 2 Alarm Word 4 BIT_06""",0
236," ""Yaw Drive 2 Alarm Word 4 BIT_07""",0
237," ""Yaw Drive 2 Alarm Word 4 BIT_08""",0
238," ""Yaw Drive 2 Alarm Word 4 BIT_09""",0
239," ""Yaw Drive 2 Alarm Word 4 BIT_10""",0
240," ""Yaw Drive 2 Alarm Word 4 BIT_11""",0
241," ""Yaw Drive 2 Alarm Word 4 BIT_12""",0
242," ""Yaw Drive 2 Alarm Word 4 BIT_13""",0
243," ""Yaw Drive 2 Alarm Word 4 BIT_14""",0
244," ""Yaw Drive 2 Alarm Word 4 BIT_15""",0
245," ""Low Outside Air Temperature""",0
246," ""Low Outside Air Temperature Shutdown""",0
247," ""High Outside Air Temperature""",0
248," ""High Outside Air Temperature Shutdown""",0
249," ""High Nacelle Air Temperature Warning""",0
250," ""High Nacelle Air Temperature Shutdown""",0
251," ""High Control Cabinet Temperature Shutdown""",0
252," ""Outside Air temperature sensors disagree""",0
253," ""Calibrations Are Disabled""",0
254," ""Basic Tracing Disabled""",0
255," ""Test Mode Enabled""",0
256," ""File Writing Suspended""",0
257," ""Log Data Rate Too High""",0
258," ""Log Writing Failed""",0
259," ""Trip Log Writing Failed""",0
260," ""Pitch Log File Size Too Small""",0
261," ""Stats Log File Size Too Small""",0
262," ""Trip Log Files Too Big""",0
263," ""Trip Log Configuration Error""",0
264," ""TraceTask Watchdog Trip""",0
265," ""(DEMOTED) FileOperationsTask Watchdog Trip""",0
266," ""Trace Message Queue Overflow""",0
267," ""Channels Update Queue Overflow""",0
268," ""Alarm log queue full""",0
269," ""(DEMOTED) Pitch log queue full""",0
270," ""State log queue full""",0
271," ""Stats log queue full""",0
272," ""Trip log queue full""",0
273," ""(DEMOTED) Persistent data queue full""",0
274," ""A_TestRL""",0
275," ""A_TestRW""",0
276," ""A_TestRI""",0
277," ""A_TestRN""",0
278," ""A_TestRF""",0
279," ""A_TestRG""",0
280," ""A_TestRP""",0
281," ""A_TestRM""",0
282," ""A_TestRET""",0
283," ""A_TestRE""",0
284," ""Hydraulic 1 Oil Level Low""",0
285," ""Hydraulic 2 Oil Level Low""",0
286," ""(DEMOTED) Yaw Hydraulic Pressure Diff Too Large""",0
287," ""HPU 1 pressure is too high""",0
288," ""HPU 2 pressure is too high""",0
289," ""HPU 1 Pump Active For Too Long""",0
290," ""HPU 2 Pump Active For Too Long""",0
291," ""Yaw Brake 1 Failed To Release""",0
292," ""(DEMOTED) Yaw Brake 1 Under Pressure Reduced Brake""",0
293," ""(DEMOTED) Yaw Brake 1 Under Pressure Full Brake""",0
294," ""(DEMOTED) Yaw Brake 1 Over Pressure Reduced Brake""",0
295," ""Yaw Brake 1 Over Pressure Full Brake""",0
296," ""Yaw Brake 2 Failed To Release""",0
297," ""(DEMOTED) Yaw Brake 2 Under Pressure Reduced Brake""",0
298," ""(DEMOTED) Yaw Brake 2 Under Pressure Full Brake""",0
299," ""(DEMOTED) Yaw Brake 2 Over Pressure Reduced Brake""",0
300," ""Yaw Brake 2 Over Pressure Full Brake""",0
301," ""Hss Rotor Brake 1 Applied""",0
302," ""Hss Brake 1 Failed To Apply""",0
303," ""Hss Brake 1 Over-Pressure""",0
304," ""Hss Rotor Brake 2 Applied""",0
305," ""Hss Brake 2 Failed To Apply""",0
306," ""Hss Brake 2 Over-Pressure""",0
307," ""Rotor Lock Pin 1 Engaged""",0
308," ""Rotor Lock Pin 2 Engaged""",0
309," ""Rotor Lock Pin 1 Released""",0
310," ""Rotor Lock Pin 2 Released""",0
311," ""Rotor Lock Pin 1 NoFeedback""",0
312," ""Rotor Lock Pin 2 NoFeedback""",0
313," ""Rotor Lock Pin 1 MissMatch""",0
314," ""Rotor Lock Pin 2 MissMatch""",0
315," ""Inst Fore-Aft Vib High""",0
316," ""Inst Fore-Aft Vib Too High""",0
317," ""Inst High Side-Side Vib""",0
318," ""Inst High Side-Side Vib""",0
319," ""Inst Gearbox Vib Too High""",0
320," ""Ave Fore-Aft Vib Too High""",0
321," ""Ave Side-Side Vib Too High""",0
322," ""Ave Gearbox Vib Too High""",0
323," ""Unexpected Vib Self Test Active""",0
324," ""Vib Self Test Failed""",0
325," ""2 fore aft accelerometers disagree""",0
326," ""Vibration monitor no new data""",0
327," ""Alert Alarm active for Band1""",0
328," ""Alert Alarm active for Band2""",0
329," ""Alert Alarm active for Band3""",0
330," ""Alert Alarm active for Band4""",0
331," ""Alert Alarm active for Band5""",0
332," ""Alert Alarm active for Band6""",0
333," ""Alert Alarm active for Band7""",0
334," ""Alert Alarm active for Band8""",0
335," ""Alert Alarm active for Band9""",0
336," ""Alert Alarm active for Band10""",0
337," ""Alert Alarm active for Band11""",0
338," ""Alert Alarm active for Band12""",0
339," ""Danger Alarm active for Band1""",0
340," ""Danger Alarm active for Band2""",0
341," ""Danger Alarm active for Band3""",0
342," ""Danger Alarm active for Band4""",0
343," ""Danger Alarm active for Band5""",0
344," ""Danger Alarm active for Band6""",0
345," ""Danger Alarm active for Band7""",0
346," ""Danger Alarm active for Band8""",0
347," ""Danger Alarm active for Band9""",0
348," ""Danger Alarm active for Band10""",0
349," ""Danger Alarm active for Band11""",0
350," ""Danger Alarm active for Band12""",0
351," ""PCH Band 1 vibration warning""",0
352," ""PCH Band 2 vibration warning""",0
353," ""PCH Band 3 vibration warning""",0
354," ""PCH Band 4 vibration warning""",0
355," ""PCH Band 5 vibration warning""",0
356," ""PCH Band 6 vibration warning""",0
357," ""PCH Band 7 vibration warning""",0
358," ""PCH Band 8 vibration warning""",0
359," ""PCH Band 9 vibration warning""",0
360," ""PCH Band 10 vibration warning""",0
361," ""PCH Band 11 vibration warning""",0
362," ""PCH Band 12 vibration warning""",0
363," ""PCH Band 1 vibration too high""",0
364," ""PCH Band 2 vibration too high""",0
365," ""PCH Band 3 vibration too high""",0
366," ""PCH Band 4 vibration too high""",0
367," ""PCH Band 5 vibration too high""",0
368," ""PCH Band 6 vibration too high INFORM HAMBURG OFFICE""",0
369," ""PCH Band 7 vibration too high""",0
370," ""PCH Band 8 vibration too high""",0
371," ""PCH Band 9 vibration too high""",0
372," ""PCH Band 10 vibration too high""",0
373," ""PCH Band 11 vibration too high""",0
374," ""PCH Band 12 vibration too high""",0
375," ""Pitch Battery Shutdown""",0
376," ""Pitch Fast Shutdown Too Slow 1""",0
377," ""Pitch Fast Shutdown Too Slow 2""",0
378," ""Pitch Fast Shutdown Too Slow 3""",0
379," ""Pitch Not At Feather""",0
380," ""(DEMOTED) Pitch Demand 1 and 2 Differ""",0
381," ""(DEMOTED) Pitch Demand 2 and 3 Differ""",0
382," ""(DEMOTED) Pitch Demand 1 and 3 Differ""",0
383," ""Wind Speed Inhibit Pitch Battery Test""",0
384," ""Pitch Battery Test Requested""",0
385," ""Pitch Battery Test Request Timeout""",0
386," ""Pitch Battery Test Manual Interruption""",0
387," ""Pitch Battery Test Inhibit Auto Startup""",0
388," ""Pitch Battery Test Failed""",0
389," ""Can Perform Pitch Battery Test""",0
390," ""Must Perform Pitch Battery Test""",0
391," ""Blade 1 too slow during EFC""",0
392," ""Blade 2 too slow during EFC""",0
393," ""Blade 3 too slow during EFC""",0
394," ""Blade 1 too fast during EFC""",0
395," ""Blade 2 too fast during EFC""",0
396," ""Blade 3 too fast during EFC""",0
397," ""Blade 1 too slow to respond""",0
398," ""Blade 2 too slow to respond""",0
399," ""Blade 3 too slow to respond""",0
400," ""EFC Failure Abnormal Pitch Rate 1""",0
401," ""EFC Failure Abnormal Pitch Rate 2""",0
402," ""EFC Failure Abnormal Pitch Rate 3""",0
403," ""Emergency Feather Failure Detected""",0
404," ""Pitch Second LS Touched But Not First LS 11""",0
405," ""Pitch Second LS Touched But Not First LS 12""",0
406," ""Pitch Second LS Touched But Not First LS 13""",0
407," ""Pitch No Backup Power Not At Feather 11""",0
